port_of_abandonment,port_of_abandonment_updated,port_of_abandonment_updated,lon,ship_count
"Cagliari, Italy","Cagliari, Italy",39.2171994,9.113311,1
"Cagliary, Italy","Cagliari, Italy",39.2450015733255,9.12549131234656,1
"Calabar anchorage, Nigeria","Calabar, Nigeria",4.9796,8.3374,1
"Calabar, Nigeria","Calabar, Nigeria",4.9795999,8.3373597,3
"Calais, France","Calais, France",50.9524769,1.8538446,1
"Callao, Peru","Callao, Peru",-12.0864633,-77.2234463,2
"Campha Anchorage, Viet Nam","Campha Anchorage, Viet Nam",21.0096,107.2729,1
"Canakkale, Turkey","Canakkale, Turkey",40.0549886,26.9278292,2
"Cape Town, South Africa","Cape Town, South Africa",-33.9288301,18.4172197,1
"Cape Verde, Cabo Verde","Cape Verde, Cabo Verde",17.0555285,-25.1723049,1
"Carr (US GulfUSA), United States of America","Carr, USA",29.9473,-90.1296,1
"Cartagena, Spain","Cartagena, Spain",37.6155018,-0.987511,1
"Cartegena, Spain","Cartagena, Spain",37.5995046,-0.9835695,2
"Cartagena, Spain","Cartagena, Spain",33.5945144,-7.6200284,7
"Castellon, Spain","Castellon, Spain",40.2518568,-0.0615052,1
"Castletownbere, Ireland","Castletownbere, Ireland",51.6514159,-9.9104925,1
"Ceuta, Spain","Ceuta, Spain",35.894422,-5.3558174,1
"Chaguaramas, Trinidad and Tobago","Chaguaramas, Trinidad and Tobago",10.68279,-61.6392368,1
"CharlestonSouth CarolinaUSA, United States of America","Charleston, SC, USA",32.7884,-79.9399,2
"Chioggia, Italy","Chioggia, Italy",45.2179083,12.2270656,1
"Chios Island, Greece","Chios Island, Greece",38.3758132,26.0646552,1
"Chittagong Charlie Anchorage, Bangladesh","Chittagong, Bangladesh",22.3092980007081,91.8016923949359,1
"Chittagong, Bangladesh","Chittagong, Bangladesh",22.333778,91.8344348,13
"Ciudad del Carmen, Campeche, Mexico","Ciudad del Carmen, Campeche, Mexico",18.651739,-91.81492,1
"Civitavecchia, Italy","Civitavecchia, Italy",42.0937524,11.7922462,1
"Claxton Bay, Trinidad and Tobago","Claxton Bay, Trinidad and Tobago",10.3534367,-61.4569401,1
"Cochin, India","Cochin, India",9.9679032,76.2444378,2
"Colombo, Sri Lanka","Colombo, Sri Lanka",6.9388614,79.8542005,8
"Colon, Panama","Colon, Panama",9.3553005,-79.8974085,2
"Conakry, Guinea","Conakry, Guinea",9.5171,-13.6998,4
"Concepcion BAy, Chile","Concepcion Bay, Chile",-36.6594776,-73.0361383,1
Congo,Congo,-2.9814344,23.8222636,1
"Constanta South, Romania","Constanta, Romania",44.1001557,28.6621511,1
"Constanta, Romania","Constanta, Romania",44.1767161,28.6507598,6
"Cotonou anchorage, Benin","Cotonou Anchorage, Benin",6.3677,2.4253,1
"Cotonou, Benin","Cotonou, Benin",6.3676953,2.4252507,1
"Crisiobal (anchorage), Panama","Cristobal, Panama",9.35829863530002,-79.9014472579419,1
"Cristobal(Colon), Panama","Cristobal, Panama",8.5194778,-80.3616728,1
