Port of abandonment~lat~long
Map Ta Phut, Thailand~12.7136499~101.1679092
Maputo, Mozambique~-25.966213~32.56745
Marabahan, Banjarmasin, Indonesia~-3.3187~114.5926
Marina Di Portopalo, Italy~36.6860918~15.1319524
Marseille, France~43.2963986~5.3777888
Marseille-Fos Port, France~43.3036284~5.3635436
Marstal, Denmark~54.8558332~10.5174056
Martas, Türkiye~40.3522146~27.9434457
Mayaguez, Puerto Rico, USA~18.2116355~-67.0953572
Menzel Bourguiba, Tunisia~37.1549472~9.7925864
Mersa Teklay, Eritrea~15.6032~39.4637
Mersin Port, Türkiye~36.7998378~34.6361157
Mersin, Türkiye~36.7978381~34.6298391
Mersin-Tasucu, Türkiye~36.3196573~33.8799686
Mesaieed, Qatar~24.9953944~51.5493583
Messina, Italy~38.1937571~15.5542082
Miami, USA~25.7741566~-80.1935973
Midia, Romania~44.3209907~28.6242643
Mina Salman, Bahrain~26.2018153~50.6080741
Mina Saqr, United Arab Emirates~25.974064~56.0504069
Mina Zayed, United Arab Emirates~24.5279708~54.3760574
Mindelo, Cabo Verde~16.8873057~-24.9864064
Miragoane, Haiti~18.4448425~-73.0886392
Miri, Malaysia~4.3940102~113.9880199
Misrata, Libya~32.3745923~15.0905803
Mogadishu, Somalia~2.0349312~45.3419183
Mombasa, Kenya~-4.05052~39.667169
Monfalcone, Italy~45.8049454~13.5330592
Mongla, Bangladesh~22.4774147~89.5996326
Monrovia, Liberia~6.3203562~-10.8060492
Montelimar, France~44.5579391~4.750318
Montevideo, Uruguay~-34.9059~-56.1913
Muar, Malaysia~2.05~102.5666667
Mumbai, India~19.054999~72.8692035
Musaffah, United Arab Emirates~24.3657845~54.4957065
Nador, Morocco~35.1739922~-2.9281198
Nakhodka Anchorage, Russia~42.8246~132.8926
Nam Trieu Shipbuilding Co. Hai Phong, Viet Nam~20.8531394231918~106.672994897768
Nansha, China~22.8043913~113.5198188
Nantes St-Nazaire, France~47.4975115~-2.2540401
Naples, Italy~40.8358846~14.2487679
Nassau, Bahamas~25.0782266~-77.3383438
Nemrut, Türkiye~38.6225036~42.246723
New Mangalore, India~12.8698~74.843
Nghe Tinh anchorage, Viet Nam~19.1976~105.0607
Ngqura, South Africa~-33.8037097~25.6821146
Nias Island, Indonesia~1.0427371~97.645176
Nice, France~43.7009358~7.2683912
Nigeria~6.526147681445234~3.3814183364580135
Ningbo, China~29.8622194~121.6203873
Ningde, China~27.0143~119.4386
Niterói, Brazil~-22.8884~-43.1147
North Abaco, Bahamas~26.9383943~-77.6838221
Nouadhibou, Mauritania~20.9258178~-17.0400997
Noumea, New Caledonia, France~-22.2745264~166.442419
Novorossiysk, Russian~44.7239578~37.7690711
Onne, Nigeria~4.7249847~7.1524345
Oristano, Italy~40.0265676~8.6796416
Oshawa, Canada~43.8975558~-78.8635324
Otaru, Japan~43.1906806~140.9946021
Paldiski Lõunasadam, Estonia~59.3357617~24.0783546
Palermo, Italy~38.1112268~13.3524434
Panama Canal, Panama~8.9988205~-79.6024233
Papendrecht, Netherlands~51.8347~4.7047
Paradip, India~20.286946~86.6739979
Pasajes, Spain~43.3239952~-1.9200587
Pasir Gudang, Malaysia~1.4953437~103.9207048
Penang, Malaysia~5.4065013~100.2559077
Perama, Greece~37.9662294~23.5691709
Philadelphia, USA~39.9527~-75.1635
Pipavav Bhav Nagar, India~20.9389~71.477
Piraeus, Greece~37.9431594~23.6470593
Ploce, Croatia~43.0524293~17.4360676
Pointe Noire, Congo~-4.7975373~11.8503297
Ponta Delgada, Portugal~37.8556045~-25.7921157
Port Blair, India~11.6645348~92.7390448
Port Fourchon, USA~29.1232363~-90.18924
Port Harcourt, Nigeria~4.7676576~7.0188527
Port Jubail, Saudi Arabia~27.0225452~49.6645523
Port Khalid Sharjah, United Arab Emirates~25.363766~55.3810072
Port Klang, Malaysia~2.9996963~101.3913589
Port Louis, Mauritius~-20.1624522~57.5028044
Port Louise, Mauritius~-20.127564064777~57.509319701332
Port Mina Zayed, United Arab Emirates~24.5231134~54.3737411
Port Rashid, United Arab Emirates~25.2709307~55.265831
Port Said, Egypt~31.263235~32.305505
Port Saleef, Yemen~15.3175488~42.6714134
Port Sudan, Sudan~19.619217~37.211709
Port Tanaqib, Saudi Arabia~26.7074~50.0674
Port Tawfiq, Egypt~31.239873~31.6543968
Port Victoria, Seychelles~-4.6232085~55.452359
Port de Bouc, France~43.403098~4.9806998
Port de Paix, Haiti~19.9389855~-72.8308129
Port of Algeciras, Spain~36.1287907~-5.4446234
Port of Bosaso, Somalia~11.0026~49.4107
Port of Djibouti, Djibouti~11.6070057~43.1354538
Port of Souda, Crete, Greece~35.4890463~24.0742153
Port of Spain, Trinidad and Tobago~10.6572678~-61.5180173
Port of Varna, Bulgaria~43.1939546~27.9095742
Port-au-Prince, Haiti~18.547327~-72.3395928
Portland, Australia~-38.3456231~141.6042304
Portland, England~50.5672516~-2.4472529
Portland, USA~45.5202471~-122.674194
Porto Empedocle, Italy~37.2883127~13.52755
Porto Nogaro, Italy~45.8160297~13.2187352
Poti, Georgia~42.141614~41.6748028
Pozzallo, Italy~36.7265294~14.8465811
Pradeep, India~12.9329974~80.2063646
Progreso, Mexico~21.2822136~-89.6636637
Psachna Chalkis, Greece~38.5777774194229~23.6414807825285
Puerto Cabello, Venezuela~10.4678~-68.0437
Puerto La Cruz, Venezuela~10.2029~-64.6308
Pula, Croatia~44.8702281~13.8455311
Punta Cardon, Venezuela~11.6175~-70.2117
Pyeongtaek, Republic of Korea~36.9924966~127.1127168
Qatar~25.3336984~51.2295295
Qingdao, China~39.9367525~119.5942213
Rak Maritime City, United Arab Emirates~25.7738~55.9382
Ras Al Khair, Saudi Arabia~27.532363~49.139814
Ras Tanura, Saudi Arabia~26.707417~50.067352
Ratnagiri, India~17.2826079~73.4569787
Ravenna, Italy~44.3640607~12.0590095
Recalada Anchorage, Argentina~-34.6096~-58.3888
Red Sea, Eritrea~16~39
Reni anchorage, Ukraine~45.4554~28.2791
Reni, Ukraine~45.455413~28.2790948
Riga, Latvia~56.9493977~24.1051846
Rijeka, Croatia~45.3267976~14.442208
Rio Tuba, Palawan, Philippines~8.5287605~117.4345462
Rio de Janeiro, Brazil~-22.9110137~-43.2093727
Rotterdam, Netherlands~51.9244~4.4778
Rouen, France~49.4404591~1.0939658
Runcorn, England~53.3421509~-2.7334941
Safaga, Egypt~26.7633325~33.9383817
Safaniya, Saudi Arabia~27.9923661~48.7910841
Safi, Morocco~32.2650776~-9.230554
Saint-Nazaire, France~47.2733517~-2.2138905
Sakaimina, Japan~35.5392~133.2319
Salalah, Oman~17.0175~54.1011
Salman Bay, Jeddah, Saudi Arabia~21.5504~39.1742
Samsun, Türkiye~41.2303557~35.9683338
San Lorenzo, Argentina~-32.7455~-60.7431
San Pedro de Macoris, Dominican Republic~18.6078948~-69.4885492
Santa Marta, Colombia~11.2320944~-74.1950916
Santander, Spain~43.4618932~-3.8100255
Santo Domingo, Dominican Republic~18.4713858~-69.8918436
Santos, Brazil~-23.9609448~-46.3166316
Sao Sebastiao, Brazil~-23.8028~-45.4071
Sasebo, Japan~33.1799965~129.7152872
Savona, Italy~44.2334238~8.2525727
Sawakin Digna anchorage, Sudan~19.1019~37.3286
Scheveningen Anchorage, Netherlands~52.1067~4.2737
Seattle, USA~47.6038321~-122.330062
Semarang Shipyard, Indonesia~-6.9904~110.4229
Seville, Spain~37.3886303~-5.9953403
